Product Name, ID, Price,Fri May 05 2017 23:44:40 GMT-0400 (EDT),Sat May 06 2017 03:44:39 GMT-0400 (EDT),Sat May 06 2017 07:44:38 GMT-0400 (EDT),Sat May 06 2017 11:44:38 GMT-0400 (EDT),Sat May 06 2017 15:44:37 GMT-0400 (EDT),Sat May 06 2017 19:44:36 GMT-0400 (EDT),Sat May 06 2017 23:44:37 GMT-0400 (EDT),Sun May 07 2017 03:44:36 GMT-0400 (EDT),Sun May 07 2017 17:10:22 GMT-0400 (EDT)
wedding-car-brides-wedding-card,22189992897,13,152,152,152,151,151,151,149,149,0
wedding-chapel-brides-wedding-card,21167323905,13,138,138,138,138,138,138,138,138,0
wedding-chapel-grooms-wedding-card,21167498177,13,97,97,97,97,97,97,96,96,0
wedding-chapel-wedding-card,21167243841,13,199,199,199,0,193,193,0,0,178
wedding-day-grooms-pop-up-card,2668805633,10,0,0,0,100,100,100,0,97,0
wedding-day-pop-up-card,2668805249,10,0,64,64,0,57,57,0,47,43
wedding-season-3d-pop-up-card-pack,16440438849,29,47,47,47,0,40,40,39,39,0
whale-mother-pop-up-card,1194512853,10,348,348,348,0,320,320,0,284,254
whimsical-christmas-card-5-pack,26633365761,49,11,11,11,11,11,11,0,11,11
white-elephant-christmas-10-pack,28257915073,97,0,0,2,2,2,2,0,2,0
white-house-3d-pop-up-greeting-card,6026684161,13,0,134,134,0,134,134,0,132,131
willow-love-scene-pop-up-card,10607874753,15,0,3406,3406,3381,3381,3381,NaN,NaN,0
willow-love-scene-same-sex-female-3d-card,30262107469,15,0,35,35,0,34,34,0,32,28
willow-love-scene-same-sex-male,30163812941,15,19,19,19,0,16,16,13,13,0
willow-tree-pop-up-card,2037715009,13,872,872,872,0,831,831,0,780,0
winter-cabin-snowman-pop-up-card,1095371825,10,0,742,742,742,742,742,0,742,0
wisemen-3-pack-christmas-pop-up-cards,10694141185,29,58,58,58,57,57,57,0,57,57
witchs-brew-pop-up-card,7244239553,10,161,161,161,160,160,160,159,159,0
wreath-holiday-photo-card,21870470785,13,0,0,0,0,0,5972,5972,5972,0
yellow-house-3d-housewarming-card,18577457025,13,0,0,41,41,41,41,0,34,0
